"","V1","V2","V3","V4","V5","V6"
"347","FALSE","FALSE","Florida","1454","FALSE","Enflux_bot"
"348","FALSE","FALSE","Chile","1671","FALSE","Twitter for Android"
"349","FALSE","FALSE","Nairobi, Kenya","343",NA,"Twitter for Android"
"350","FALSE","FALSE","Szentendre, Hungary","20105","TRUE","Twitter Web Client"
"351","FALSE","FALSE","","41","TRUE","Twitter for iPhone"
"352","FALSE","FALSE","University of St Andrews","357","FALSE","Twitter for iPhone"
"353","FALSE","FALSE","Sydney, New South Wales","927",NA,"Twitter Web Client"
"354","FALSE","FALSE","Colorado & Oregon ","525","FALSE","Twitter for iPhone"
"355","FALSE","FALSE","Durban","45","FALSE","Twitter for Android"
"356","FALSE","FALSE","Mill Valley, CA","1566",NA,"Twitter Web Client"
"357","FALSE","FALSE","Israel","3157",NA,"Paper.li"
"358","FALSE","FALSE","Sydney, New South Wales","206",NA,"Twitter Web Client"
"359","FALSE","FALSE","California, USA","825","FALSE","Twitter for iPhone"
"360","FALSE","FALSE","Phoenix, AZ","1319","FALSE","nserverless"
"361","FALSE","FALSE","","1195","FALSE","ZeroGlutineMio"
"362","FALSE","FALSE","Everywhere ","28546","FALSE","javascriptdigest2"
"363","FALSE","FALSE","Everywhere ","28546","FALSE","javascriptdigest2"
"364","FALSE","FALSE","Everywhere ","28546","FALSE","javascriptdigest2"
"365","FALSE","FALSE","Everywhere ","28546","FALSE","javascriptdigest2"
"366","FALSE","FALSE","Everywhere ","28546","FALSE","javascriptdigest2"
"367","FALSE","FALSE","Everywhere ","28546","FALSE","javascriptdigest2"
"368","FALSE","FALSE","Vancouver, BC","23582",NA,"Tweetbot for Mac"
"369","FALSE","FALSE","","389",NA,"Twitter for Android"
"370","FALSE","FALSE","Bundoora,Victoria, Australia","1020","FALSE","Twitter for iPhone"
"371","FALSE","FALSE","","2220","FALSE","ML_BD_bot"
"372","FALSE","FALSE","Austin, TX","6784","FALSE","Calcaware"
"373","FALSE","FALSE","Austin, TX","6784","FALSE","Calcaware"
"374","FALSE","FALSE","Austin, TX","6784","FALSE","Calcaware"
"375","FALSE","FALSE","Nepal","943","FALSE","Twitter bot, saroj humagain"
"376","FALSE","FALSE","Web","3796","FALSE","Twitter Bot 2018_87"
"377","FALSE","FALSE","Singapore","45",NA,"Buffer"
"378","FALSE","FALSE","San Francisco, CA","416","FALSE","Twitter for Android"
"379","FALSE","FALSE","","1584","FALSE","Twictorine"
"380","FALSE","FALSE","Chile","337","FALSE","Twitter for Android"
"381","FALSE","FALSE","","226","FALSE","Twitter Web Client"
"382","FALSE","FALSE","ARGENTINA","3259","FALSE","Twitter Web Client"
